EMAIL,FIRSTNAME,LASTNAME,STARTUP,SALUTATION,SUBJECT_LINE,INTRO,OBSERVATION,LANDING_IDEA,OFFER_CTA,SOURCE_SITE,PRIORITY,SEQUENCE_DAY,DATA_ORIGIN,STATUS
hello@labatisse.fr,,,La Bâtisse,"Bonjour l’équipe La Bâtisse,",La Bâtisse : une landing pour recruter les entreprises partenaires,"J’ai parcouru votre page destinée aux futures pionnières du bâtiment : formation financée et rémunérée, sans prérequis, avec 80 % de pratique et plus de 50 % de femmes.","Le parcours candidat est très vivant. En revanche, l’offre destinée aux entreprises qui accueillent les alternantes est beaucoup moins présente alors que vos témoignages montrent des débouchés chez Vinci, Legendre ou Hervé Thermique.","Une landing entreprises pourrait présenter les profils formés en plomberie et électricité, le calendrier d’alternance, l’accompagnement et les réussites de recrutement, avec une prise de contact dédiée.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.labatisse.fr/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
support@hello-charly.com,,,Hello Charly,"Bonjour l’équipe Hello Charly,",Hello Charly : une landing dédiée aux établissements scolaires,"J’ai regardé le parcours grand public — top 10 métiers en moins de 30 minutes, 850 fiches métiers et 3 000 fiches formations — ainsi que vos offres pour les professionnels.","La preuve sociale est forte, avec près d’un million de jeunes accompagnés, mais Hello Charly Plus, les jeunes invisibles et la génération de candidatures cohabitent avec le parcours B2C.","Une landing pour établissements pourrait montrer l’animation de l’orientation, le suivi des élèves et les résultats obtenus, séparément de l’application gratuite destinée aux jeunes.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://hello-charly.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
paul@behindtheskills.io,,,Behind the Skills,"Bonjour Paul,","Paul, rendre le plan de formation financé plus concret","J’ai parcouru votre offre sur mesure, avec un réseau de 1 200 experts et la prise en charge possible à 100 % par l’OPCO.","La promesse est attractive, mais le visiteur passe rapidement de ses droits non utilisés à un réseau très large de thématiques sans voir à quoi ressemble un plan de formation final.","Une landing pourrait montrer l’audit avec Victor, le choix de deux compétences prioritaires, le montage du financement puis le programme et ses résultats. Un exemple réel rendrait le sur-mesure beaucoup plus tangible.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.behindtheskills.io/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@hupso.co,,,Hupso,"Bonjour l’équipe Hupso,",Hupso : une landing par métier avec le résultat emploi en premier,"J’ai regardé vos huit secteurs de formation, avec 85 % des apprenants en poste sous trois mois, 30 heures de cours particuliers et la promesse “embauché ou remboursé”.","Ces preuves sont fortes, mais la page d’accueil demande encore de parcourir les secteurs avant de se projeter dans un métier, une durée et un financement précis.","Une landing par métier — conducteur de travaux ou responsable logistique, par exemple — pourrait réunir calendrier, accompagnement, CPF, débouchés et témoignage d’embauche dans un parcours unique.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.hupso.co/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@toporder.fr,,,Toporder,"Bonjour l’équipe Toporder,",Toporder : une landing caisse par métier de bouche,"J’ai parcouru vos caisses iPad et Android, qui réunissent encaissement, stocks, fidélité, vente en ligne et pilotage à distance.","La note Google de 4,9/5 et la certification NF525 rassurent, mais un boulanger, un boucher ou un caviste ne recherche pas exactement les mêmes écrans ni les mêmes gains.","Une landing boulangerie pourrait montrer l’encaissement en deux touches, l’aide à la production, le stock et la fidélisation sur une journée de commerce, avec une configuration matérielle immédiatement visible.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://toporder.fr/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
service-client@hellocse.fr,,,HelloCSE,"Bonjour l’équipe HelloCSE,",HelloCSE : une landing unique pour les start-up et PME,"J’ai parcouru votre écosystème : billetterie, site CSE, subventions, comptabilité, application mobile, cartes cadeaux et CSE externalisé.","Cette couverture explique votre position de référence et vos notes de 4,9/5 et 4,8/5, mais une petite entreprise peut hésiter entre beaucoup d’entrées avant de comprendre l’offre qui lui correspond.","Une landing start-up/PME pourrait montrer l’expérience salarié d’un côté et les quelques actions d’administration de l’autre, puis comparer clairement l’offre avantages et le CSE externalisé.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.hellocse.fr/,Basse,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
hello@wedressfair.fr,,,WeDressFair,"Bonjour l’équipe WeDressFair,",WeDressFair : une landing campagne autour du “bon jean”,"J’ai parcouru votre sélection d’été, votre marque propre, la seconde vie et les nombreux filtres par matières et engagements : France, Europe, bio, recyclé, upcyclé ou vegan.","La profondeur du catalogue est une force, mais une campagne d’acquisition peut perdre son impact en renvoyant vers une navigation aussi large.","Une landing autour du “bon jean” pourrait partir de trois critères simples — coupe, matière et lieu de fabrication — puis expliquer la sélection WeDressFair, montrer les modèles et rassurer avec les retours sous 30 jours.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.wedressfair.fr/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@horticulture.red,,,RED Horticulture,"Bonjour l’équipe RED Horticulture,",RED Horticulture : montrer une recette lumineuse sur une culture,"J’ai regardé comment vos luminaires RED T, les capteurs RED Sense et le pilotage MyRED agissent ensemble sur les rendements, les cycles et l’énergie.","La plateforme couvre jeunes plants, cultures fil-haut, semences, fruits rouges et fleurs. Pour un producteur, la preuve la plus forte serait de voir le résultat sur sa culture plutôt que la gamme complète.","Une landing dédiée à la tomate ou aux fruits rouges pourrait montrer la recette lumineuse, les données capteurs, l’ajustement MyRED puis l’effet sur rendement, qualité et consommation par mètre carré.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.horticulture.red/fr/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
hello@hari-co.fr,,,HARi&CO,"Bonjour l’équipe HARi&CO,",HARi&CO : une landing foodservice centrée sur l’usage en cuisine,"J’ai parcouru vos galettes, boulettes, falafels, Veggie Box et gamme apéro, avec des légumineuses françaises, des recettes sans additifs et des listes d’ingrédients courtes.","L’univers grand public est gourmand et très incarné par les HARi’CULTEURS. Pour un chef ou un acheteur foodservice, les formats, les usages et le rendement en cuisine restent toutefois moins visibles.","Une landing pro pourrait présenter trois recettes en situation, le temps de préparation, les formats disponibles et la composition, puis conduire à une demande d’échantillon.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://hari-co.com/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@flease.fr,,,Flease,"Bonjour l’équipe Flease,",Flease : rendre la flexibilité LMD/LLD immédiatement comparable,"J’ai regardé votre offre de véhicules quasi-neufs pour les entreprises, livrés rapidement, avec la possibilité de changer de modèle en cours de contrat.","La promesse de LMD et LLD flexible est séduisante, mais un gestionnaire de parc veut surtout comprendre quelle formule choisir selon la durée, le nombre de véhicules et l’évolution de ses besoins.","Une landing pourrait poser trois questions, recommander le bon format puis afficher véhicules, délai de livraison et conditions de changement dans un comparatif simple.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.flease.fr/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@myexpressdriver.com,,,My Express Driver,"Bonjour l’équipe My Express Driver,",My Express Driver : une landing dédiée aux gestionnaires de flotte,"J’ai parcouru votre parcours de convoyage : devis instantané, prise en charge, suivi en temps réel, livraison et gestion documentaire digitalisée avec API.","Les preuves sont fortes — plus de 2 000 transports par mois, 95 % de clients satisfaits et 20 minutes de délai de réponse — mais les parcours particuliers, convoyeurs et professionnels partagent la même page.","Une landing flotte pourrait suivre cinq véhicules déposés via l’API, leur affectation, le suivi et les documents de livraison, avec les témoignages Orange, BPI France ou Dalkia.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://myexpressdriver.com/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@wizeup.fr,,,WizeUp,"Bonjour l’équipe WizeUp,",WizeUp : montrer la continuité d’une assistante augmentée par l’IA,"J’ai vu que votre offre est aujourd’hui centrée sur l’externalisation administrative, comptable et juridique, avec des assistants Élite, Polyvalents ou de Projet augmentés par l’IA.","Votre différence ne tient pas seulement à la délégation : recrutement et formation, management continu, poste doublé, contrat français et continuité de service. Ces garanties méritent d’être visualisées.","Une landing pour cabinets comptables ou juridiques pourrait suivre l’arrivée d’une mission, son traitement par l’assistante, le contrôle qualité et le relais en cas d’absence, avec la confiance de plus de 200 entrepreneurs.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://wizeup.fr/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@ludocare.com,,,Ludocare,"Bonjour l’équipe Ludocare,",Ludocare : montrer le rituel quotidien de JOE,"J’ai découvert JOE, votre dispositif thérapeutique pédiatrique sur prescription qui associe un compagnon interactif pour l’enfant et une application pour les parents.","Le rappel du traitement, le guidage du geste d’inhalation et l’apprentissage ludique répondent très précisément aux problèmes d’observance et de mauvaise technique dans l’asthme infantile.","Une landing pourrait raconter un matin avec JOE : rappel, geste guidé, encouragement de l’enfant puis suivi côté parent. Les preuves cliniques viendraient ensuite valider ce parcours très humain.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.ludocare.com/en/homepage/,Moyenne,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@dylogy.com,,,Dylogy,"Bonjour l’équipe Dylogy,",Dylogy : montrer le risque détecté dans un contrat réel,"J’ai parcouru votre plateforme d’analyse documentaire pour assureurs, réassureurs et courtiers, avec classement, versioning et extraction des risques par l’IA.","La promesse “révéler les risques au-delà des mots” est forte, mais la modularité de la plateforme reste abstraite sans document métier suivi jusqu’à la décision.","Une landing pourrait montrer un contrat importé, les clauses et données clés extraites, un risque signalé puis la décision du souscripteur, tout en expliquant comment l’espace de travail s’adapte à sa méthode.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://dylogy.com/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@fleezy.io,,,Fleezy,"Bonjour l’équipe Fleezy,",Fleezy : montrer la disparition d’un équipement perdu,"J’ai regardé comment Fleezy centralise les équipements IT, téléphones, outils, véhicules et EPI affectés aux collaborateurs, avec une mise en route en moins d’une journée.","Vos résultats — 70 heures gagnées par équipe, 300 % de ROI moyen et 70 % de pertes en moins — sont très parlants, mais le premier usage pourrait être encore plus visuel.","Une landing pourrait suivre un ordinateur depuis l’inventaire mobile jusqu’à l’affectation, l’alerte de maintenance puis la restitution lors d’un départ, avec l’historique complet dans le tableau de bord.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.fleezy.io/,Haute,J3,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
projet@archi-vr.fr,,,Archi-VR,"Bonjour l’équipe Archi-VR,",Archi-VR : montrer le passage du plan à la visite immersive,"J’ai tenté de consulter archi-vr.fr, mais le site ne s’est pas chargé correctement lors de ma visite. Pour une offre fondée sur l’immersion, cette première impression peut malheureusement faire perdre des projets.",Votre démonstration la plus naturelle reste pourtant très visuelle : transformer un plan ou une maquette en visite à l’échelle 1 pour aider un client à comprendre et décider avant construction.,"Une landing légère pourrait montrer un projet en pleine largeur, le passage plan → environnement VR, puis les décisions prises grâce à la visite, avec un appel clair à envoyer un fichier ou demander une démo.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://archi-vr.fr/,Haute,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
hello@signitic.com,,,Signitic,"Bonjour l’équipe Signitic,",Signitic : faire de la signature le quatrième canal d’acquisition,"J’ai parcouru votre plateforme Google Workspace et Microsoft 365, qui donne au marketing le contrôle des signatures et campagnes sans dépendre de l’IT.","Le cas Claranet est particulièrement fort : Signitic est devenu leur quatrième source de trafic, devant LinkedIn Ads. Cette preuve pourrait porter une landing entière par persona marketing.","Je verrais une page qui part d’une campagne créée par l’équipe marketing, montre le déploiement instantané sur les signatures puis les clics et conversions mesurés, avec les 5 000 entreprises équipées en preuve.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.signitic.com/,Basse,J5,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
thibault@atypique.eco,,,Atypique,"Bonjour Thibault,","Thibault, une landing saisonnière pour l’offre Atypique","J’ai parcouru votre offre de fruits et légumes français déclassés, avec un parcours distinct pour restaurateurs et producteurs et des exemples très concrets selon les saisons.","Le positionnement anti-gaspi est immédiatement compris, mais un acheteur pro veut surtout voir ce qui est disponible cette semaine, d’où cela vient et quelle économie il peut réaliser.","Une landing saisonnière pourrait afficher le panier du moment — par exemple tomates, courgettes ou fraises — l’origine producteur, les défauts acceptés et l’impact évité, puis conduire directement à la création de compte.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://atypique.eco/,Haute,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@finishers.com,,,Finishers,"Bonjour l’équipe Finishers,",Finishers : une landing organisateur autour des 3 M de visiteurs,"J’ai parcouru votre offre organisateurs : page événement premium, inscriptions, communication, studio et Memories, déjà utilisée par plus de 1 500 courses.","Vos chiffres sont puissants — 3 millions de visiteurs uniques par mois, 300 000 emails opt-in et 61 millions de pages vues — mais les cinq offres peuvent rendre le premier choix difficile.","Une landing pourrait partir d’un objectif simple, remplir plus de dossards, puis montrer la page course, la campagne d’acquisition et les inscriptions générées avant de proposer les options Studio ou Memories.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.finishers.com/,Moyenne,J4,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
contact@envisport.fr,,,Envisport,"Bonjour l’équipe Envisport,",Envisport : une landing qui relie entreprise et sport associatif local,"J’ai découvert vos trois expériences — Team Building ATYPIK, En forme au travail et animations de quartier — appuyées par un réseau de plus de 10 000 structures partenaires.","Votre différence est plus forte qu’une simple offre de bien-être : vous mobilisez les associations et éducateurs locaux, dont beaucoup disposent encore de créneaux et de compétences sous-utilisés.","Une landing pourrait suivre une entreprise, son besoin d’animation, l’association sélectionnée à proximité puis la séance et son impact, avec une carte du réseau et les références Foncia ou AG2R La Mondiale.","Je realise chez MC Studio des landing pages et sites complets pour clarifier l'offre, renforcer la confiance et generer plus de demandes qualifiees. Une landing page demarre a 1 890 EUR HT et un site 5 pages a 2 990 EUR HT.",https://www.envisport.fr/,Haute,J2,Base existante MC Studio - validation-mails-brevo-startups-lyon.xlsx,ready_for_brevo_review
